Ignoring existing simulation:  /root/the-one-transit/reports/helsinki1True_router:EpidemicRouter_bSize:1000G_Ttl:400_Events1.size:1M_endTime:28800_warmup:18000_Events1.interval:5_updateInt:0.1_beta:0.9_gamma:0.999885791_tSpeed:5M_tRange:80_seed:1_MessageStatsReport.txt
6063.3 14205: 1.35 1/s
6123.3 14287: 1.37 1/s
6183.3 14369: 1.36 1/s
6243.4 14450: 1.36 1/s
6303.5 14531: 1.34 1/s
6363.5 14612: 1.35 1/s
6423.6 14693: 1.35 1/s
6483.6 14773: 1.34 1/s
6543.6 14853: 1.34 1/s
6603.7 14933: 1.33 1/s
6663.7 15013: 1.33 1/s
6723.7 15093: 1.34 1/s
6783.7 15174: 1.35 1/s
6843.8 15255: 1.34 1/s
6903.8 15335: 1.34 1/s
6963.9 15415: 1.33 1/s
7023.9 15495: 1.34 1/s
7083.9 15575: 1.34 1/s
7144.0 15655: 1.33 1/s
7204.1 15735: 1.33 1/s
7264.1 15814: 1.32 1/s
7324.1 15893: 1.31 1/s
7384.1 15972: 1.32 1/s
7444.1 16051: 1.31 1/s
7504.2 16130: 1.32 1/s
7564.3 16209: 1.32 1/s
7624.4 16289: 1.33 1/s
7684.4 16369: 1.33 1/s
7744.4 16449: 1.33 1/s
7804.5 16528: 1.32 1/s
7864.5 16607: 1.31 1/s
7924.5 16686: 1.31 1/s
7984.6 16766: 1.33 1/s
8044.6 16845: 1.32 1/s
8104.6 16924: 1.32 1/s
8164.7 17003: 1.32 1/s
8224.7 17082: 1.31 1/s
8284.7 17160: 1.31 1/s
8344.8 17239: 1.31 1/s
8404.9 17318: 1.32 1/s
8464.9 17397: 1.31 1/s
8525.0 17475: 1.30 1/s
8585.0 17553: 1.29 1/s
8645.0 17630: 1.29 1/s
8705.0 17707: 1.28 1/s
8765.0 17785: 1.29 1/s
8825.1 17863: 1.30 1/s
8885.1 17940: 1.29 1/s
8945.2 18017: 1.28 1/s
9005.3 18094: 1.29 1/s
9065.3 18171: 1.28 1/s
9125.4 18251: 1.32 1/s
9185.5 18329: 1.30 1/s
9245.5 18406: 1.28 1/s
9305.6 18483: 1.29 1/s
9365.7 18561: 1.29 1/s
9425.7 18638: 1.28 1/s
9485.8 18715: 1.30 1/s
9545.8 18794: 1.31 1/s
9605.8 18874: 1.33 1/s
9665.8 18953: 1.32 1/s
9725.9 19033: 1.33 1/s
9785.9 19112: 1.31 1/s
9845.9 19192: 1.34 1/s
9906.0 19273: 1.35 1/s
9966.0 19352: 1.31 1/s
10026.0 19433: 1.35 1/s
10086.0 19513: 1.34 1/s
10146.1 19593: 1.33 1/s
10206.2 19674: 1.34 1/s
10266.2 19756: 1.38 1/s
10326.2 19842: 1.43 1/s
10386.3 19922: 1.34 1/s
10446.3 20008: 1.43 1/s
10506.4 20089: 1.34 1/s
10566.4 20172: 1.39 1/s
10626.5 20258: 1.43 1/s
10686.5 20340: 1.37 1/s
10746.5 20421: 1.34 1/s
10806.6 20506: 1.42 1/s
10866.6 20591: 1.42 1/s
10926.6 20678: 1.45 1/s
10986.6 20761: 1.38 1/s
11046.7 20844: 1.37 1/s
11106.7 20926: 1.38 1/s
11166.8 21016: 1.50 1/s
11226.8 21102: 1.43 1/s
11286.9 21185: 1.38 1/s
11346.9 21271: 1.43 1/s
11406.9 21351: 1.34 1/s
11467.0 21432: 1.34 1/s
11527.0 21507: 1.25 1/s
11587.1 21594: 1.45 1/s
11647.1 21682: 1.46 1/s
11707.2 21770: 1.47 1/s
11767.2 21847: 1.29 1/s
11827.2 21935: 1.46 1/s
11887.3 22013: 1.31 1/s
11947.4 22087: 1.23 1/s
12007.4 22166: 1.31 1/s
12067.4 22244: 1.31 1/s
12127.5 22320: 1.27 1/s
12187.6 22395: 1.24 1/s
12247.6 22472: 1.28 1/s
12307.6 22543: 1.18 1/s
12367.7 22615: 1.19 1/s
12427.7 22689: 1.24 1/s
12487.8 22762: 1.22 1/s
12547.8 22834: 1.20 1/s
12607.8 22898: 1.06 1/s
12667.9 22960: 1.03 1/s
12727.9 23024: 1.07 1/s
12787.9 23089: 1.09 1/s
12847.9 23155: 1.10 1/s
12908.0 23220: 1.08 1/s
12968.0 23283: 1.05 1/s
13028.1 23346: 1.05 1/s
13088.2 23417: 1.19 1/s
13148.2 23487: 1.16 1/s
13208.2 23560: 1.21 1/s
13268.2 23623: 1.06 1/s
13328.3 23684: 1.02 1/s
13388.3 23750: 1.09 1/s
13448.3 23809: 0.99 1/s
13508.4 23869: 0.99 1/s
13568.5 23927: 0.97 1/s
13628.5 23985: 0.97 1/s
13688.6 24049: 1.06 1/s
13748.7 24115: 1.10 1/s
13808.7 24180: 1.08 1/s
13868.7 24250: 1.17 1/s
13928.9 24317: 1.11 1/s
13988.9 24387: 1.17 1/s
14049.0 24460: 1.21 1/s
14109.0 24536: 1.27 1/s
14169.1 24610: 1.23 1/s
14229.1 24690: 1.34 1/s
14289.2 24770: 1.32 1/s
14349.2 24858: 1.48 1/s
14409.2 24948: 1.50 1/s
14469.2 25046: 1.62 1/s
14529.3 25132: 1.44 1/s
14589.3 25218: 1.43 1/s
14649.3 25303: 1.42 1/s
14709.3 25388: 1.41 1/s
14769.3 25480: 1.54 1/s
14829.4 25581: 1.68 1/s
14889.4 25675: 1.57 1/s
14949.5 25780: 1.74 1/s
15009.5 25881: 1.69 1/s
15069.5 25980: 1.65 1/s
15129.5 26083: 1.72 1/s
15189.5 26183: 1.66 1/s
15249.6 26295: 1.87 1/s
15309.6 26408: 1.88 1/s
15369.6 26522: 1.90 1/s
15429.7 26627: 1.76 1/s
15489.7 26735: 1.79 1/s
15549.7 26844: 1.81 1/s
15609.7 26962: 1.97 1/s
15669.8 27068: 1.75 1/s
15729.8 27169: 1.69 1/s
15789.8 27277: 1.79 1/s
15849.8 27391: 1.89 1/s
15909.9 27511: 2.00 1/s
15969.9 27627: 1.93 1/s
16030.0 27733: 1.77 1/s
16090.0 27841: 1.80 1/s
16150.1 27954: 1.88 1/s
16210.1 28059: 1.76 1/s
16270.1 28169: 1.84 1/s
16330.1 28268: 1.64 1/s
16390.1 28366: 1.63 1/s
16450.2 28472: 1.77 1/s
16510.2 28589: 1.94 1/s
16570.2 28699: 1.84 1/s
16630.3 28796: 1.62 1/s
16632.8 28800: 1.44 1/s
Simulation done in 16632.48s
---
All done in 16636.08s
Ignoring existing simulation:  /root/the-one-transit/reports/helsinki1True_router:EpidemicRouter_bSize:1000G_Ttl:400_Events1.size:1M_endTime:28800_warmup:18000_Events1.interval:3_updateInt:0.1_beta:0.9_gamma:0.999885791_tSpeed:1M_tRange:80_seed:1_MessageStatsReport.txt
Ignoring existing simulation:  /root/the-one-transit/reports/helsinki1True_router:EpidemicRouter_bSize:1000G_Ttl:400_Events1.size:1M_endTime:28800_warmup:18000_Events1.interval:5_updateInt:0.1_beta:0.9_gamma:0.999885791_tSpeed:1M_tRange:80_seed:1_MessageStatsReport.txt
Ignoring existing simulation:  /root/the-one-transit/reports/helsinki1True_router:EpidemicRouter_bSize:1000G_Ttl:400_Events1.size:1M_endTime:28800_warmup:18000_Events1.interval:3_updateInt:0.1_beta:0.9_gamma:0.999885791_tSpeed:5M_tRange:80_seed:1_MessageStatsReport.txt
Ignoring existing simulation:  /root/the-one-transit/reports/helsinki1True_router:EpidemicRouter_bSize:1000G_Ttl:400_Events1.size:5M_endTime:28800_warmup:18000_Events1.interval:1_updateInt:0.1_beta:0.9_gamma:0.999885791_tSpeed:5M_tRange:80_seed:1_MessageStatsReport.txt
Ignoring existing simulation:  /root/the-one-transit/reports/helsinki1True_router:EpidemicRouter_bSize:1000G_Ttl:400_Events1.size:5M_endTime:28800_warmup:18000_Events1.interval:3_updateInt:0.1_beta:0.9_gamma:0.999885791_tSpeed:5M_tRange:80_seed:1_MessageStatsReport.txt
Ignoring existing simulation:  /root/the-one-transit/reports/helsinki1True_router:EpidemicRouter_bSize:1000G_Ttl:400_Events1.size:5M_endTime:28800_warmup:18000_Events1.interval:5_updateInt:0.1_beta:0.9_gamma:0.999885791_tSpeed:1M_tRange:80_seed:1_MessageStatsReport.txt
Ignoring existing simulation:  /root/the-one-transit/reports/helsinki1True_router:EpidemicRouter_bSize:1000G_Ttl:400_Events1.size:5M_endTime:28800_warmup:18000_Events1.interval:3_updateInt:0.1_beta:0.9_gamma:0.999885791_tSpeed:1M_tRange:80_seed:1_MessageStatsReport.txt
Ignoring existing simulation:  /root/the-one-transit/reports/helsinki1True_router:EpidemicRouter_bSize:1000G_Ttl:400_Events1.size:1M_endTime:28800_warmup:18000_Events1.interval:1_updateInt:0.1_beta:0.9_gamma:0.999885791_tSpeed:5M_tRange:80_seed:1_MessageStatsReport.txt
Ignoring existing simulation:  /root/the-one-transit/reports/helsinki1True_router:EpidemicRouter_bSize:1000G_Ttl:400_Events1.size:5M_endTime:28800_warmup:18000_Events1.interval:5_updateInt:0.1_beta:0.9_gamma:0.999885791_tSpeed:5M_tRange:80_seed:1_MessageStatsReport.txt
